budget,seed,n_train_pos,n_train_neg,n_test,precision,recall,f1,accuracy,roc_auc
0,0,0,0,38351,0.5638888888888889,0.5638888888888889,0.5638888888888889,0.9918124690360095,0.9907538773803153
0,1,0,0,38351,0.6509695290858726,0.6527777777777778,0.651872399445215,0.9934551902166827,0.9940626288682407
0,2,0,0,38351,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.9917081692785065,0.992351441423261
0,3,0,0,38351,0.5888888888888889,0.5888888888888889,0.5888888888888889,0.9922818179447733,0.9919314954711496
0,4,0,0,38351,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.9890485254621783,0.9888476876102236
10,0,1,9,38351,1.0,0.3972222222222222,0.5685884691848907,0.9943417381554588,0.9808689338703027
10,1,1,9,38351,1.0,0.4305555555555556,0.6019417475728155,0.994654637427968,0.985697745664909
10,2,1,9,38351,1.0,0.45555555555555555,0.6259541984732825,0.9948893118823499,0.9683452074906631
10,3,1,9,38351,0.8778877887788779,0.7388888888888889,0.8024132730015083,0.9965841829417746,0.9695441756673363
10,4,1,9,38351,1.0,0.6388888888888888,0.7796610169491526,0.9966102578811504,0.9695056431494009
25,0,1,24,38351,1.0,0.39444444444444443,0.5657370517928287,0.994315663216083,0.9642174389255935
25,1,1,24,38351,1.0,0.4861111111111111,0.6542056074766355,0.9951761362154833,0.9770609047756924
25,2,1,24,38351,1.0,0.45555555555555555,0.6259541984732825,0.9948893118823499,0.9752667663978896
25,3,1,24,38351,1.0,0.43333333333333335,0.6046511627906976,0.9946807123673438,0.9776513589475868
25,4,1,24,38351,1.0,0.26666666666666666,0.42105263157894735,0.9931162160047978,0.9726222804231411
50,0,1,49,38351,1.0,0.4222222222222222,0.59375,0.9945764126098406,0.9666597571354618
50,1,1,49,38351,1.0,0.2361111111111111,0.38202247191011235,0.9928293916716644,0.9791086485395665
50,2,1,49,38351,1.0,0.45555555555555555,0.6259541984732825,0.9948893118823499,0.975492148725283
50,3,1,49,38351,1.0,0.43333333333333335,0.6046511627906976,0.9946807123673438,0.9703963877409562
50,4,1,49,38351,1.0,0.175,0.2978723404255319,0.9922557430053975,0.9712685606825007
100,0,1,99,38351,1.0,0.5666666666666667,0.723404255319149,0.9959323094573805,0.9667001541300717
100,1,1,99,38351,1.0,0.2722222222222222,0.4279475982532751,0.9931683658835493,0.9805060555277713
100,2,1,99,38351,1.0,0.45,0.6206896551724138,0.9948371620035984,0.9767809408076182
100,3,1,99,38351,1.0,0.3194444444444444,0.4842105263157895,0.9936116398529373,0.9706669196505605
100,4,1,99,38351,1.0,0.18333333333333332,0.30985915492957744,0.9923339678235248,0.9727855135280578
200,0,2,198,38351,1.0,0.8055555555555556,0.8923076923076924,0.9981747542436964,0.9668173236936234
200,1,2,198,38351,0.9787234042553191,0.5111111111111111,0.6715328467153284,0.9953065109123621,0.9803468072847663
200,2,2,198,38351,1.0,0.06111111111111111,0.11518324607329843,0.9911866704909911,0.9978495272272088
200,3,2,198,38351,1.0,0.8722222222222222,0.9317507418397626,0.9988005527887147,0.9946094689093031
200,4,2,198,38351,0.9607843137254902,0.8166666666666667,0.8828828828828829,0.9979661547286902,0.9737759527841389
500,0,5,495,38351,0.8851174934725848,0.9416666666666667,0.9125168236877523,0.9983051289405752,0.9980648194455412
500,1,5,495,38351,0.8969359331476323,0.8944444444444445,0.8956884561891516,0.9980443795468176,0.9812119975783739
500,2,5,495,38351,1.0,0.8472222222222222,0.9172932330827067,0.9985658783343329,0.9785576042863955
500,3,5,495,38351,1.0,0.8722222222222222,0.9317507418397626,0.9988005527887147,0.9846726490777056
500,4,5,495,38351,1.0,0.8083333333333333,0.8940092165898618,0.9982008291830722,0.9743650177381192
