strategy,noise_rate,anomaly_type,mean,std,count
active_learning,0.0,benford_violation,1.0,0.0,5
active_learning,0.0,cash_with_pattern,1.0,0.0,5
active_learning,0.0,novel_user_account,1.0,0.0,5
active_learning,0.0,reversal_pattern,1.0,0.0,5
active_learning,0.0,round_number,1.0,0.0,5
active_learning,0.0,threshold_avoidance,1.0,0.0,5
active_learning,0.0,weekend_latenight,1.0,0.0,5
hybrid_scoring,0.0,benford_violation,0.3181818181818182,0.05567022142689043,5
hybrid_scoring,0.0,cash_with_pattern,1.0,0.0,5
hybrid_scoring,0.0,novel_user_account,1.0,0.0,5
hybrid_scoring,0.0,reversal_pattern,1.0,0.0,5
hybrid_scoring,0.0,round_number,1.0,0.0,5
hybrid_scoring,0.0,threshold_avoidance,1.0,0.0,5
hybrid_scoring,0.0,weekend_latenight,1.0,0.0,5
no_hitl,0.0,benford_violation,0.13636363636363635,0.0,5
no_hitl,0.0,cash_with_pattern,0.9181818181818182,0.03803000120609437,5
no_hitl,0.0,novel_user_account,0.8636363636363636,0.05567022142689041,5
no_hitl,0.0,reversal_pattern,1.0,0.0,5
no_hitl,0.0,round_number,0.9363636363636363,0.08860722131644506,5
no_hitl,0.0,threshold_avoidance,0.8181818181818181,0.05567022142689042,5
no_hitl,0.0,weekend_latenight,0.9272727272727274,0.04065578140908709,5
preference_model,0.0,benford_violation,0.9818181818181818,0.02489647988659844,5
preference_model,0.0,cash_with_pattern,1.0,0.0,5
preference_model,0.0,novel_user_account,1.0,0.0,5
preference_model,0.0,reversal_pattern,1.0,0.0,5
preference_model,0.0,round_number,1.0,0.0,5
preference_model,0.0,threshold_avoidance,1.0,0.0,5
preference_model,0.0,weekend_latenight,1.0,0.0,5
rule_mining,0.0,benford_violation,0.40909090909090906,0.0,5
rule_mining,0.0,cash_with_pattern,1.0,0.0,5
rule_mining,0.0,novel_user_account,1.0,0.0,5
rule_mining,0.0,reversal_pattern,1.0,0.0,5
rule_mining,0.0,round_number,1.0,0.0,5
rule_mining,0.0,threshold_avoidance,0.9818181818181818,0.040655781409087106,5
rule_mining,0.0,weekend_latenight,1.0,0.0,5
threshold_adjustment,0.0,benford_violation,0.13636363636363635,0.0,5
threshold_adjustment,0.0,cash_with_pattern,0.9181818181818182,0.03803000120609437,5
threshold_adjustment,0.0,novel_user_account,0.8636363636363636,0.05567022142689041,5
threshold_adjustment,0.0,reversal_pattern,1.0,0.0,5
threshold_adjustment,0.0,round_number,0.9363636363636363,0.08860722131644506,5
threshold_adjustment,0.0,threshold_avoidance,0.8181818181818181,0.05567022142689042,5
threshold_adjustment,0.0,weekend_latenight,0.9272727272727274,0.04065578140908709,5
