strategy,seed,noise_rate,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision,runtime_seconds
no_hitl,0,0.0,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872,0.14098262786865234
no_hitl,1,0.0,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441,0.13828301429748535
no_hitl,2,0.0,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9799498746867168,0.010869565217391304,62,62,0.9795976507713885,0.9148812042693945,0.14834213256835938
threshold_adjustment,0,0.0,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872,0.14172077178955078
threshold_adjustment,1,0.0,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441,0.14106392860412598
threshold_adjustment,2,0.0,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9799498746867168,0.010869565217391304,62,62,0.9795976507713885,0.9148812042693945,0.1425333023071289
preference_model,0,0.0,1.0,1.0,1.0,1.0,0.0,62,62,1.0,1.0,0.8938090801239014
preference_model,1,0.0,1.0,1.0,1.0,1.0,0.0,62,62,1.0,1.0,0.7682240009307861
preference_model,2,0.0,1.0,1.0,1.0,1.0,0.0,62,62,0.9999999999999999,1.0000000000000002,0.7404079437255859
active_learning,0,0.0,1.0,1.0,1.0,1.0,0.0,62,62,1.0,1.0,0.7395620346069336
active_learning,1,0.0,0.967741935483871,0.967741935483871,0.967741935483871,0.9949874686716792,0.002717391304347826,62,62,0.9999123422159888,0.9989839349718381,0.7895128726959229
active_learning,2,0.0,1.0,1.0,1.0,1.0,0.0,62,62,1.0,0.9999999999999999,0.7849009037017822
hybrid_scoring,0,0.0,0.967741935483871,0.967741935483871,0.967741935483871,0.9949874686716792,0.002717391304347826,62,62,0.9997370266479663,0.9970412169238897,0.854604959487915
hybrid_scoring,1,0.0,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9974937343358395,0.001358695652173913,62,62,0.9998246844319777,0.9980029676254949,0.7325019836425781
hybrid_scoring,2,0.0,0.967741935483871,0.967741935483871,0.967741935483871,0.9949874686716792,0.002717391304347826,62,62,0.9998027699859747,0.9977104261719897,0.7148900032043457
rule_mining,0,0.0,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9899749373433584,0.005434782608695652,62,62,0.9985098176718094,0.9843385965711968,0.22745776176452637
rule_mining,1,0.0,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.9874686716791979,0.006793478260869565,62,62,0.998093443197756,0.9807260271160161,0.22724008560180664
rule_mining,2,0.0,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.9874686716791979,0.006793478260869565,62,62,0.998422159887798,0.9835106633555986,0.226762056350708
no_hitl,0,0.1,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872,0.1391611099243164
no_hitl,1,0.1,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441,0.1420302391052246
no_hitl,2,0.1,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9799498746867168,0.010869565217391304,62,62,0.9795976507713885,0.9148812042693945,0.17957711219787598
threshold_adjustment,0,0.1,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872,0.15634512901306152
threshold_adjustment,1,0.1,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441,0.21142792701721191
threshold_adjustment,2,0.1,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9799498746867168,0.010869565217391304,62,62,0.9795976507713885,0.9148812042693945,0.14893317222595215
preference_model,0,0.1,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9849624060150376,0.008152173913043478,62,62,0.9921655855539971,0.9546739432275407,1.0032739639282227
preference_model,1,0.1,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9849624060150376,0.008152173913043478,62,62,0.9936338534361852,0.9578454634912279,0.9714610576629639
preference_model,2,0.1,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9899749373433584,0.005434782608695652,62,62,0.9964498597475455,0.9718632370358132,0.9951400756835938
active_learning,0,0.1,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9899749373433584,0.005434782608695652,62,62,0.9948172335203366,0.9706806020857659,0.9882597923278809
active_learning,1,0.1,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.9924812030075187,0.004076086956521739,62,62,0.9965046458625525,0.972259083753491,1.0059800148010254
active_learning,2,0.1,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9899749373433584,0.005434782608695652,62,62,0.9966909186535764,0.9669662699680611,0.9769198894500732
hybrid_scoring,0,0.1,0.9838709677419355,0.9838709677419355,0.9838709677419355,0.9974937343358395,0.001358695652173913,62,62,0.9996055399719496,0.9955507841455262,0.9705090522766113
hybrid_scoring,1,0.1,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9899749373433584,0.005434782608695652,62,62,0.9985974754558206,0.9834420414555216,0.9946229457855225
hybrid_scoring,2,0.1,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9849624060150376,0.008152173913043478,62,62,0.9924176016830295,0.9586728671985808,0.9833838939666748
rule_mining,0,0.1,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9849624060150376,0.008152173913043478,62,62,0.9966909186535765,0.96573303503363,0.2262728214263916
rule_mining,1,0.1,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.9874686716791979,0.006793478260869565,62,62,0.9978304698457223,0.9774642701385967,0.22345399856567383
rule_mining,2,0.1,0.9193548387096774,0.9193548387096774,0.9193548387096774,0.9874686716791979,0.006793478260869565,62,62,0.9972606942496494,0.9709377790186299,0.22792291641235352
no_hitl,0,0.2,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872,0.1368241310119629
no_hitl,1,0.2,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441,0.15995502471923828
no_hitl,2,0.2,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9799498746867168,0.010869565217391304,62,62,0.9795976507713885,0.9148812042693945,0.1588611602783203
threshold_adjustment,0,0.2,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872,0.14950108528137207
threshold_adjustment,1,0.2,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441,0.14014124870300293
threshold_adjustment,2,0.2,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9799498746867168,0.010869565217391304,62,62,0.9795976507713885,0.9148812042693945,0.14037704467773438
preference_model,0,0.2,0.8225806451612904,0.8225806451612904,0.8225806451612904,0.9724310776942355,0.014945652173913044,62,62,0.9207683204768583,0.8402024640854294,0.9756169319152832
preference_model,1,0.2,0.7580645161290323,0.7580645161290323,0.7580645161290323,0.9624060150375939,0.020380434782608696,62,62,0.9647834852734922,0.8365976757653386,0.9787299633026123
preference_model,2,0.2,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.9523809523809523,0.025815217391304348,62,62,0.8941860974754559,0.7534830285077283,0.9753730297088623
active_learning,0,0.2,0.7258064516129032,0.7258064516129032,0.7258064516129032,0.9573934837092731,0.02309782608695652,62,62,0.9641589235624124,0.8000155803772725,0.9914989471435547
active_learning,1,0.2,0.7580645161290323,0.7580645161290323,0.7580645161290323,0.9624060150375939,0.020380434782608696,62,62,0.9749737026647967,0.8026591731573786,1.0278818607330322
active_learning,2,0.2,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.9398496240601504,0.03260869565217391,62,62,0.9457946178120618,0.7144402523691942,0.9894750118255615
hybrid_scoring,0,0.2,0.8548387096774194,0.8548387096774194,0.8548387096774194,0.9774436090225563,0.012228260869565218,62,62,0.993031206171108,0.9394896199396442,1.071274995803833
hybrid_scoring,1,0.2,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.9699248120300752,0.016304347826086956,62,62,0.9792470196353437,0.8952328106092442,0.9851861000061035
