strategy,noise_rate,anomaly_type,mean,std,count
active_learning,0.0,benford_violation,1.0,0.0,3
active_learning,0.0,cash_with_pattern,1.0,0.0,3
active_learning,0.0,novel_user_account,1.0,0.0,3
active_learning,0.0,reversal_pattern,1.0,0.0,3
active_learning,0.0,round_number,1.0,0.0,3
active_learning,0.0,threshold_avoidance,1.0,0.0,3
active_learning,0.0,weekend_latenight,0.9259259259259259,0.12830005981991682,3
hybrid_scoring,0.0,benford_violation,0.8148148148148149,0.0641500299099584,3
hybrid_scoring,0.0,cash_with_pattern,1.0,0.0,3
hybrid_scoring,0.0,novel_user_account,1.0,0.0,3
hybrid_scoring,0.0,reversal_pattern,1.0,0.0,3
hybrid_scoring,0.0,round_number,1.0,0.0,3
hybrid_scoring,0.0,threshold_avoidance,1.0,0.0,3
hybrid_scoring,0.0,weekend_latenight,1.0,0.0,3
no_hitl,0.0,benford_violation,0.2222222222222222,0.0,3
no_hitl,0.0,cash_with_pattern,1.0,0.0,3
no_hitl,0.0,novel_user_account,0.8888888888888888,0.11111111111111115,3
no_hitl,0.0,reversal_pattern,1.0,0.0,3
no_hitl,0.0,round_number,0.9259259259259259,0.06415002990995845,3
no_hitl,0.0,threshold_avoidance,0.8148148148148149,0.16972502573910522,3
no_hitl,0.0,weekend_latenight,1.0,0.0,3
preference_model,0.0,benford_violation,1.0,0.0,3
preference_model,0.0,cash_with_pattern,1.0,0.0,3
preference_model,0.0,novel_user_account,1.0,0.0,3
preference_model,0.0,reversal_pattern,1.0,0.0,3
preference_model,0.0,round_number,1.0,0.0,3
preference_model,0.0,threshold_avoidance,1.0,0.0,3
preference_model,0.0,weekend_latenight,1.0,0.0,3
rule_mining,0.0,benford_violation,0.48148148148148145,0.06415002990995844,3
rule_mining,0.0,cash_with_pattern,1.0,0.0,3
rule_mining,0.0,novel_user_account,1.0,0.0,3
rule_mining,0.0,reversal_pattern,1.0,0.0,3
rule_mining,0.0,round_number,1.0,0.0,3
rule_mining,0.0,threshold_avoidance,1.0,0.0,3
rule_mining,0.0,weekend_latenight,1.0,0.0,3
threshold_adjustment,0.0,benford_violation,0.2222222222222222,0.0,3
threshold_adjustment,0.0,cash_with_pattern,1.0,0.0,3
threshold_adjustment,0.0,novel_user_account,0.8888888888888888,0.11111111111111115,3
threshold_adjustment,0.0,reversal_pattern,1.0,0.0,3
threshold_adjustment,0.0,round_number,0.9259259259259259,0.06415002990995845,3
threshold_adjustment,0.0,threshold_avoidance,0.8148148148148149,0.16972502573910522,3
threshold_adjustment,0.0,weekend_latenight,1.0,0.0,3
