posting_id,document_date,posting_date,entered_date,gl_account,gl_account_name,amount,cd_flag,user,tax_rate,ref_id,text,promptly,weekend,nwh,label,marking,top_n,high_cash,anomaly_type,entry_id,user_encoded,gl_account_encoded,leading_digit,second_digit,is_round_amount,just_below_threshold,benford_deviation,weekend_or_late,reversal_candidate,novel_user_account_combo
b_5145,2023-08-28 00:00:00,2023-08-28 00:00:00,2023-09-01 16:10:49,1600,Trade payables,72.47,D,Alice,0.19,b_1145,Hedge Trimmer,1,0,0,0,0,0,0,normal,b_5145_0,0,0,7,2,0,0,0.002883053022313266,0,0,0
b_751,2023-08-10 00:00:00,2023-08-10 00:00:00,2023-08-15 14:45:26,1576,"Deductible input tax, 19%",15.26,D,Bob,0.19,0,Wheelbarrow,1,0,0,0,0,0,0,normal,b_751_1,1,1,1,5,0,0,0.02772000433601879,0,0,0
e_4590,2023-08-08,2023-08-08,2023-08-15 11:38:26,1100,Bank (Postbank),69.12,D,Alice,0.19,e_590,Shovel,1,0,0,0,0,0,0,normal,e_4590_2,0,2,6,9,0,0,0.014696789630613223,0,0,0
d_4719,2023-07-02,2023-07-02,2023-07-04 13:32:57,1600,Trade payables,239.61,D,David,0.19,d_719,Garden Hose,1,0,0,0,0,0,0,normal,d_4719_3,2,0,2,3,0,0,0.02578374094431876,0,0,0
f_998,2023-06-01 00:00:00,2023-06-01 00:00:00,2023-06-05 12:09:34,3400,"Cost of merchandise, 19% input tax",85.84,D,Bob,0.19,0,Rake,1,0,0,0,0,0,0,normal,f_998_4,1,3,8,5,0,0,0.016277522447381287,0,0,0
d_1747,2023-06-16,2023-06-16,2023-06-23 11:32:40,3400,"Cost of merchandise, 19% input tax",335.43,D,Bob,0.19,0,Garden Shears,1,0,0,0,0,0,0,normal,d_1747_5,1,3,3,3,0,0,0.026686263391700077,0,0,0
a_1078,2023-08-06 00:00:00,2023-08-06 00:00:00,2023-08-10 16:45:06,1600,Trade payables,198.48,C,Alice,0.19,0,Shovel,1,0,0,0,0,0,0,normal,a_1078_6,0,0,1,9,0,0,0.02772000433601879,0,0,0
g_2932,2023-11-18 00:00:00,2023-11-18 00:00:00,2023-11-26 15:03:27,1200,Bank,390.5,C,Bob,0.19,g_1432,Garden Shears,1,2,0,0,0,0,0,normal,g_2932_7,1,4,3,9,0,0,0.026686263391700077,1,0,0
g_2644,2023-11-13 00:00:00,2023-11-13 00:00:00,2023-11-20 22:18:59,1600,Trade payables,1191.08,D,Charlie,0.19,g_1144,Wheelbarrow,1,0,1,0,0,0,0,normal,g_2644_8,3,0,1,1,0,0,0.02772000433601879,1,0,0
a_2403,2023-11-09 00:00:00,2023-11-09 00:00:00,2023-11-16 15:21:18,1600,Trade payables,218.66,C,David,0.19,0,Watering Can,1,0,0,0,0,0,0,normal,a_2403_9,2,0,2,1,0,0,0.02578374094431876,0,0,0
a_2481,2023-12-15 00:00:00,2023-12-15 00:00:00,2023-12-21 11:58:31,1600,Trade payables,309.39,C,Alice,0.19,0,Wheelbarrow,1,0,0,0,0,0,0,normal,a_2481_10,0,0,3,0,0,0,0.026686263391700077,0,0,0
d_585,2023-05-25,2023-05-25,2023-05-29 08:35:38,3400,"Cost of merchandise, 19% input tax",44.07,D,Alice,0.19,0,Garden Hose,1,0,0,0,0,0,0,normal,d_585_11,0,3,4,4,0,0,0.03278501300805642,0,0,0
