strategy,seed,noise_rate,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision,runtime_seconds
no_hitl,0,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9996281808622502,0.9654137017551283,0.31723499298095703
no_hitl,1,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993371188222923,0.9515410321351309,0.30248379707336426
no_hitl,2,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993640378548896,0.9509105372233266,0.30742502212524414
no_hitl,3,0.0,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.99975436382755,0.9739666055229783,0.2986741065979004
no_hitl,4,0.0,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989602523659307,0.9300155255262721,0.30819034576416016
threshold_adjustment,0,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9996281808622502,0.9654137017551283,0.31005096435546875
threshold_adjustment,1,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993371188222923,0.9515410321351309,0.3534548282623291
threshold_adjustment,2,0.0,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993640378548896,0.9509105372233266,0.3011970520019531
threshold_adjustment,3,0.0,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.99975436382755,0.9739666055229783,0.3160860538482666
threshold_adjustment,4,0.0,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989602523659307,0.9300155255262721,0.31672096252441406
preference_model,0,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.8169729709625244
preference_model,1,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.9410500526428223
preference_model,2,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.935600757598877
preference_model,3,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.8954389095306396
preference_model,4,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,2.0424866676330566
active_learning,0,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.9506862163543701
active_learning,1,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.9539461135864258
active_learning,2,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.947011947631836
active_learning,3,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.9068121910095215
active_learning,4,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.9731876850128174
hybrid_scoring,0,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,0.9999999999999998,1.8671207427978516
hybrid_scoring,1,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,1.98209810256958
hybrid_scoring,2,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,0.9999999999999999,2.0037150382995605
hybrid_scoring,3,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,0.9999999999999999,1.9199402332305908
hybrid_scoring,4,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,0.9999999999999999,1.9757788181304932
rule_mining,0,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,0.9999999999999999,0.8261091709136963
rule_mining,1,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,0.608252763748169
rule_mining,2,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,0.9999999999999999,0.6598899364471436
rule_mining,3,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,0.9999999999999999,0.5578579902648926
rule_mining,4,0.0,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0,0.5952119827270508
no_hitl,0,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9996281808622502,0.9654137017551283,0.34928417205810547
no_hitl,1,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993371188222923,0.9515410321351309,0.45896029472351074
no_hitl,2,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993640378548896,0.9509105372233266,0.3219151496887207
no_hitl,3,0.1,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.99975436382755,0.9739666055229783,0.32181811332702637
no_hitl,4,0.1,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989602523659307,0.9300155255262721,0.32625913619995117
threshold_adjustment,0,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9996281808622502,0.9654137017551283,0.32087111473083496
threshold_adjustment,1,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993371188222923,0.9515410321351309,0.31993913650512695
threshold_adjustment,2,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993640378548896,0.9509105372233266,0.32516980171203613
threshold_adjustment,3,0.1,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.99975436382755,0.9739666055229783,0.3240649700164795
