posting_id,document_date,posting_date,entered_date,gl_account,gl_account_name,amount,cd_flag,user,tax_rate,ref_id,text,promptly,weekend,nwh,label,marking,top_n,high_cash,anomaly_type,entry_id,user_encoded,gl_account_encoded,leading_digit,second_digit,is_round_amount,just_below_threshold,benford_deviation,weekend_or_late,reversal_candidate,novel_user_account_combo
e_1163,2023-05-27,2023-05-27,2023-06-01 10:45:50,8400,"Revenue, 19%",449.39,C,Bob,0.19,0,Leaf Blower,1,0,0,0,0,0,0,normal,e_1163_0,0,0,4,4,0,0,0.032243346341389756,0,0,0
a_1522,2023-02-11 00:00:00,2023-02-11 00:00:00,2023-02-15 14:36:22,1576,"Deductible input tax, 19%",42.39,D,Bob,0.19,0,Shovel,1,0,0,0,0,0,0,normal,a_1522_1,0,1,4,2,0,0,0.032243346341389756,0,0,0
e_3765,2023-07-19,2023-07-19,2023-07-25 11:39:47,1776,"VAT, 19%",5.55,C,Bob,0.19,0,Shovel,1,0,0,0,0,0,0,normal,e_3765_2,0,2,5,0,0,0,0.014181246047624815,0,0,0
c_1164,2023-04-04 00:00:00,2023-04-04 00:00:00,2023-04-11 10:00:13,1776,"VAT, 19%",5.04,C,Bob,0.19,0,Rake,1,0,0,0,0,0,0,normal,c_1164_3,0,2,5,0,0,0,0.014181246047624815,0,0,0
i_62,2023-07-30 00:00:00,2023-07-30 00:00:00,2023-08-02 13:22:47,1776,"VAT, 19%",58.56,C,Charlie,0.19,0,Lawn Mower,1,0,0,0,0,0,0,normal,i_62_4,1,2,5,8,0,0,0.014181246047624815,0,0,0
d_6037,2023-05-12,2023-05-12,2023-05-16 14:37:31,1100,Bank (Postbank),638.82,C,David,0.19,d_2037,Leaf Blower,1,0,0,0,0,0,0,normal,d_6037_5,2,3,6,3,0,0,0.015280122963946555,0,0,0
c_2215,2023-06-16 00:00:00,2023-06-16 00:00:00,2023-06-21 16:40:13,8400,"Revenue, 19%",88.23,C,Alice,0.19,0,Rake,1,0,0,0,0,0,0,normal,c_2215_6,3,0,8,8,0,0,0.014152522447381292,0,0,0
e_192,2023-07-18,2023-07-18,2023-07-19 12:57:27,1400,Trade receivables,474.16,D,Bob,0.19,0,Leaf Blower,1,0,0,0,0,0,0,normal,e_192_7,0,4,4,7,0,0,0.032243346341389756,0,0,0
e_3004,2023-04-12,2023-04-12,2023-04-14 13:47:12,8400,"Revenue, 19%",146.0,C,Bob,0.19,0,Garden Shears,1,0,0,0,0,0,0,normal,e_3004_8,0,0,1,4,0,0,0.023970004336018813,0,0,0
d_4655,2023-09-25,2023-09-25,2023-09-27 10:47:17,1100,Bank (Postbank),293.58,C,Alice,0.19,d_655,Garden Hose,1,0,0,0,0,0,0,normal,d_4655_9,3,3,2,9,0,0,0.012242074277652087,0,0,0
