strategy,seed,noise_rate,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision,runtime_seconds
no_hitl,0,0.0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649,0.18906617164611816
no_hitl,1,0.0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175,0.17209410667419434
preference_model,0,0.0,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0,0.8004899024963379
preference_model,1,0.0,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0,0.7488551139831543
active_learning,0,0.0,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0,0.8249340057373047
active_learning,1,0.0,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0,0.7809429168701172
rule_mining,0,0.0,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0,0.23548388481140137
rule_mining,1,0.0,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0,0.2601280212402344
no_hitl,0,0.2,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649,0.17094683647155762
no_hitl,1,0.2,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175,0.1769697666168213
preference_model,0,0.2,0.84,0.84,0.84,0.9946666666666667,0.002711864406779661,50,50,0.961986440677966,0.8724162195369273,0.8719630241394043
preference_model,1,0.2,0.82,0.82,0.82,0.994,0.0030508474576271187,50,50,0.9930542372881356,0.8897604634306813,0.8814477920532227
active_learning,0,0.2,0.34,0.34,0.34,0.978,0.011186440677966102,50,50,0.9415457627118644,0.25914890047561856,0.8861501216888428
active_learning,1,0.2,0.8,0.8,0.8,0.9933333333333333,0.003389830508474576,50,50,0.9942542372881356,0.8441648685259907,0.8802609443664551
rule_mining,0,0.2,0.94,0.94,0.94,0.998,0.001016949152542373,50,50,0.999749152542373,0.9839417863536948,0.22403287887573242
rule_mining,1,0.2,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0,0.24115371704101562
