strategy,noise_rate,n_reviews,recall_mean,recall_std,count
active_learning,0.0,0,0.92,0.0,2
active_learning,0.0,10,0.92,0.0,2
active_learning,0.0,20,1.0,0.0,2
active_learning,0.0,30,1.0,0.0,2
active_learning,0.0,40,1.0,0.0,2
active_learning,0.0,50,1.0,0.0,2
active_learning,0.0,60,1.0,0.0,2
active_learning,0.0,70,1.0,0.0,2
active_learning,0.0,80,1.0,0.0,2
no_hitl,0.0,0,0.92,0.0,2
no_hitl,0.0,10,0.92,0.0,2
no_hitl,0.0,20,0.92,0.0,2
no_hitl,0.0,30,0.92,0.0,2
no_hitl,0.0,40,0.92,0.0,2
no_hitl,0.0,50,0.92,0.0,2
no_hitl,0.0,60,0.92,0.0,2
no_hitl,0.0,70,0.92,0.0,2
no_hitl,0.0,80,0.92,0.0,2
preference_model,0.0,0,0.92,0.0,2
preference_model,0.0,10,0.92,0.0,2
preference_model,0.0,20,1.0,0.0,2
preference_model,0.0,30,1.0,0.0,2
preference_model,0.0,40,1.0,0.0,2
preference_model,0.0,50,1.0,0.0,2
preference_model,0.0,60,1.0,0.0,2
preference_model,0.0,70,1.0,0.0,2
preference_model,0.0,80,1.0,0.0,2
rule_mining,0.0,0,0.92,0.0,2
rule_mining,0.0,10,0.92,0.0,2
rule_mining,0.0,20,0.92,0.0,2
rule_mining,0.0,30,0.92,0.0,2
rule_mining,0.0,40,0.88,0.0,2
rule_mining,0.0,50,0.88,0.0,2
rule_mining,0.0,60,1.0,0.0,2
rule_mining,0.0,70,1.0,0.0,2
rule_mining,0.0,80,1.0,0.0,2
