strategy,noise_rate,anomaly_type,mean,std,count
active_learning,0.0,account_anomaly,1.0,0.0,2
active_learning,0.0,payment_reversal,1.0,0.0,2
active_learning,0.0,round_number,1.0,0.0,2
active_learning,0.0,split_transaction,1.0,0.0,2
active_learning,0.0,unusual_timing,1.0,0.0,2
no_hitl,0.0,account_anomaly,1.0,0.0,2
no_hitl,0.0,payment_reversal,1.0,0.0,2
no_hitl,0.0,round_number,1.0,0.0,2
no_hitl,0.0,split_transaction,0.0,0.0,2
no_hitl,0.0,unusual_timing,0.0,0.0,2
preference_model,0.0,account_anomaly,1.0,0.0,2
preference_model,0.0,payment_reversal,1.0,0.0,2
preference_model,0.0,round_number,1.0,0.0,2
preference_model,0.0,split_transaction,1.0,0.0,2
preference_model,0.0,unusual_timing,1.0,0.0,2
rule_mining,0.0,account_anomaly,1.0,0.0,2
rule_mining,0.0,payment_reversal,1.0,0.0,2
rule_mining,0.0,round_number,1.0,0.0,2
rule_mining,0.0,split_transaction,1.0,0.0,2
rule_mining,0.0,unusual_timing,1.0,0.0,2
